Player,Ballers Rank,ADP,Projected Pts.,Risk,Tier,Vid,Tiers,Notes
Antonio Brown PIT (8),1,1.01,227.63,1.83,TIER 1,,TIER 1,"Back-to-back seasons as the no.1 WR. We discovered the only thing that can slow down Antonio Brown, and it was Michael Vick. Thankfully fantasy players don't need to worry about that anymore in the event Big Ben goes down, with Gradkowski coming back and Landry Jones proving he can at least move the offense. 2nd in the league in targets at 193, Brown feels as safe as a fantasy player possibly can."
Julio Jones ATL (11),2,1.03,225.6,2.67,TIER 1,,TIER 1,"JULIOOOOOO!! An absolute monster that carries only one concern, and that's his foot. Everything looked great last year. If fantasy owners had anything to complain about, it would be the fact Julio scored only two touchdowns in the final eight games. Look for Matt Ryan to continue to gain comfort in the new offensive system, and look for Julio to compete to finish as the no.1 WR in fantasy."
Odell Beckham Jr. NYG (8),3,1.03,220.23,2.33,TIER 1,,TIER 1,"The fears of Beckham being a one-year wonder were silenced after he gave his fantasy owners a scare in Week 1. Beckham is now the motor that moves the Giants offense and he hasn't come anywhere near his ceiling. Target monster, big plays, red zone efficiency, Beckham has everything you want in a fantasy WR. There's no reason to feel after back-to-back top-5 finishes (in his first two seasons) that Beckham should do anything less."
A.J. Green CIN (9),4,1.09,202.2,1.67,TIER 2,,TIER 2,"Green is a curious case because he felt like a disappointment, despite finishing as the WR8 and dropping nearly 1300 yards with 10 touchdowns. The disappointment is shown in the points total as Green was clearly a tier or two behind the top finishers. There has been shakeup in Cinci as they lost their run-heavy offensive coordinator, as well as the WR2 and WR3 in Jones and Sanu. It's very possible Green returns to the form of his second and third seasons as a target vacuum. Green does have the longest active streak of having at least 1000 receiving yards (five)."
Dez Bryant DAL (7),5,1.12,199.03,4.83,TIER 2,,TIER 2,"The dreams of Dez last season, destroyed by a Jones fracture. His foot has now seen multiple injuries in a short time. That's not to say he cannot come back, Julio Jones has been a beast after dealing with the same injury. The previous three seasons before 2015, Dez finished as a top-6 WR. He's nearly a lock for double-digit TDs if he plays a full season. Dez is unlikely to ever get the gaudy target volume of Julio or Brown, but his efficiency and TD scoring overcome that shortcoming."
Brandon Marshall NYJ (11),6,2.04,196.5,3.5,TIER 2,,TIER 2,"The Bears were done with Brandon Marshall, but Marshall wasn't done being one the league's premiere WRs. He finished as the WR3 last year in dominant fashion with 14 TDs, tying the league leaders. With Fitz and his magic beard back on board, look for Marshall to have a dominant fantasy season."
Allen Robinson JAC (5),7,2.02,189.07,4.57,TIER 2,,TIER 2,"The perfect storm occurred for Allen Robinson last year. Top level talent, a bad defense combined with a mistake-prone QB, and a nonexistent running game led to The Target Monster dropping a line of 80/1400/14. Unfortunately for fantasy owners, the Jags actually appear determined to not be the team they were last year. Similar to Hopkins, the fantasy draft price has been set by last year's success, and the more surprising outcome for this year would be a full repeat of success. Robinson is a stud, but we are more likely to see George Clooney and Marky Mark make a sequel to The Perfect Storm (**Spoiler Alert** They can't because Clooney dies in the movie)."
DeAndre Hopkins HOU (9),8,1.07,187.3,3.07,TIER 2,,TIER 2,"The talent level of Hopkins can't possibly be questioned at this point. But there was a very clear shift in the Texans team as a whole, halfway through the year. After the debacle against Miami, the Texans defense really turned around, so did the team's rushing yards. Despite losing Foster, the 2nd half of the year the team averaged 110.5 yards a game on the ground compared to 88. Game script turned around for them. Hopkins' numbers took a noticeable dip during this time, and now they throw in the unproven Brock Osweiler. All that said, Hopkins is certainly a WR1, but maybe more of a top-10 guy than a top-5."
Alshon Jeffery CHI (9),8,2.12,185.63,3.8,TIER 2,,TIER 2,"Big things were expected from Alshon last year. His soft muscle tissue chose not to fulfill these fantasy wishes. Despite playing only nine games and being hobbled in a lot of them, Jeffery had over 90 targets and over 800 yards. That had him on a pace for a career year. All while playing through injuries that even the most casual football fan would be able to notice. Alshon does have competition coming this year in the form of Kevin White. White hasn't played a single snap of professional football. Jeffery played full seasons the previous two years. Let the recency bias be someone else's problem, Jeffery is a beast."
Mike Evans TB (6),10,2.09,184.13,4.33,TIER 2,,TIER 2,"Evans had a solid year, but was a candidate ripe for TD regression and saw the narrative fulfilled to the extreme. He went from 12 TDs on 68 receptions, to only 3 TDs on 74 receptions. The good news for Evans is his QB Jameis Winston showed efficiency improvement over the course of the year. On top of getting better, Winston showed he had little concern to target his stud WR. In six of 15 games, Evans was targeted in the double-digits. Evans went from a regression candidate to a return to the mean candidate."
